id,lat,lon,name,owner,pgm,type,met,currents,waterquality,dart,elev,seq
13002,21,-23,NE Extension,Prediction and Research Moored Array in the Atlantic,International Partners,buoy,y,n,n,n,0,
13008,15,-38,Reggae,Prediction and Research Moored Array in the Atlantic,International Partners,buoy,n,n,n,n,0,
13009,8,-38,Lambada,Prediction and Research Moored Array in the Atlantic,International Partners,buoy,n,n,n,n,0,
13010,0,0,Soul,Prediction and Research Moored Array in the Atlantic,International Partners,buoy,y,n,n,n,0,
14040,-8,67,,Research Moored Array for African-Asian-Australian Monsoon Analysis and Prediction,International Partners,buoy,y,n,n,n,0,
14041,-8,55,,Research Moored Array for African-Asian-Australian Monsoon Analysis and Prediction,International Partners,buoy,y,n,n,n,0,
14043,-12,67,,Research Moored Array for African-Asian-Australian Monsoon Analysis and Prediction,International Partners,buoy,n,n,n,n,0,
14047,-4,57,,Research Moored Array for African-Asian-Australian Monsoon Analysis and Prediction,International Partners,buoy,y,n,n,n,0,
15001,-10,-10,Gavotte,Prediction and Research Moored Array in the Atlantic,International Partners,buoy,y,n,n,n,0,
15002,0,-10,Java,Prediction and Research Moored Array in the Atlantic,International Partners,buoy,y,n,n,n,0,
15006,-6,-10,Valse,Prediction and Research Moored Array in the Atlantic,International Partners,buoy,y,n,n,n,0,
15007,-6,8,SE Extension,Prediction and Research Moored Array in the Atlantic,International Partners,buoy,n,n,n,n,0,
18ci3,41.73,-86.91,"Michigan City CG Station, IN",U.S.C.G. Marine Reporting Stations,IOOS Partners,fixed,n,n,n,n,176,
20cm4,42.09,-86.49,"St. Joseph CG Station, MI",U.S.C.G. Marine Reporting Stations,IOOS Partners,fixed,n,n,n,n,177,
21413,30.533,152.132,"SOUTHEAST TOKYO - 700NM ESE of Tokyo, JP",NDBC,Tsunami,dart,n,n,n,y,0,
21414,48.963,178.237," AMCHITKA - 170 NM South of Amchitka, AK",NDBC,Tsunami,dart,n,n,n,y,,
21415,50.153,171.897,"ATTU - 175 NM South of Attu, AK",NDBC,Tsunami,dart,n,n,n,y,,
21416,48.11,163.435,"KAMCHATKA PENINSULA - 240NM SE of Kamchatka Peninsula, RU ",NDBC,Tsunami,dart,n,n,n,y,0,
21418,38.735,148.655,"NORTHEAST TOKYO - 450 NM NE of Tokyo, JP",NDBC,Tsunami,dart,n,n,n,n,0,
21419,44.435,155.717,KURIL ISLANDS - 209NM SE of Kuril Is. ,NDBC,Tsunami,dart,n,n,n,y,,
21420,28.891,135.022,SOUTHEAST MIYAZAKI - 260NM Southeast of Miyazaki,NDBC,Tsunami,dart,n,n,n,y,,
22101,37.23,126.02,,Korean Meteorological Administration,International Partners,buoy,y,n,n,n,,
22102,34.8,125.77,,Korean Meteorological Administration,International Partners,buoy,y,n,n,n,,
22103,34,127.5,,Korean Meteorological Administration,International Partners,buoy,y,n,n,n,,
22104,34.77,128.9,,Korean Meteorological Administration,International Partners,buoy,y,n,n,n,,
22105,37.53,130,,Korean Meteorological Administration,International Partners,buoy,y,n,n,n,,
22106,36.35,129.78,,Korean Meteorological Administration,International Partners,buoy,y,n,n,n,,
22107,33.08,126.03,,Korean Meteorological Administration,International Partners,buoy,y,n,n,n,,
22108,36.25,125.75,,Korean Meteorological Administration,International Partners,buoy,y,n,n,n,,
23001,0,81,,Research Moored Array for African-Asian-Australian Monsoon Analysis and Prediction,International Partners,buoy,y,n,n,n,0,
23003,-2,81,,Research Moored Array for African-Asian-Australian Monsoon Analysis and Prediction,International Partners,buoy,n,n,n,n,0,
23004,0,90,,Research Moored Array for African-Asian-Australian Monsoon Analysis and Prediction,International Partners,buoy,n,n,n,n,0,
23006,4,90,,Research Moored Array for African-Asian-Australian Monsoon Analysis and Prediction,International Partners,buoy,n,n,n,n,0,
23007,8,90,,Research Moored Array for African-Asian-Australian Monsoon Analysis and Prediction,International Partners,buoy,n,n,n,n,0,
23008,12,90,,Research Moored Array for African-Asian-Australian Monsoon Analysis and Prediction,International Partners,buoy,y,n,n,n,0,
23009,15,90,,Research Moored Array for African-Asian-Australian Monsoon Analysis and Prediction,International Partners,buoy,y,n,n,n,0,
23010,-4,81,,Research Moored Array for African-Asian-Australian Monsoon Analysis and Prediction,International Partners,buoy,y,n,n,n,0,
23011,15,65,,Research Moored Array for African-Asian-Australian Monsoon Analysis and Prediction,International Partners,buoy,n,n,n,n,0,
23012,8,67,,Research Moored Array for African-Asian-Australian Monsoon Analysis and Prediction,International Partners,buoy,y,n,n,n,0,
23013,4,67,,Research Moored Array for African-Asian-Australian Monsoon Analysis and Prediction,International Partners,buoy,y,n,n,n,0,
23014,2,67,,Research Moored Array for African-Asian-Australian Monsoon Analysis and Prediction,International Partners,buoy,y,n,n,n,0,
23015,0,67,,Research Moored Array for African-Asian-Australian Monsoon Analysis and Prediction,International Partners,buoy,y,n,n,n,0,
23016,-2,67,,Research Moored Array for African-Asian-Australian Monsoon Analysis and Prediction,International Partners,buoy,y,n,n,n,0,
23017,-4,67,,Research Moored Array for African-Asian-Australian Monsoon Analysis and Prediction,International Partners,buoy,y,n,n,n,0,
23217,3.798,91.701,Bay of Bengal IN3,Indian National Center for Ocean Information Services INDIA,Tsunami,dart,n,n,n,n,,
23218,10.165,88.5,Bay of Bengal IN4,National Institute for Ocean Technology INDIA,Tsunami,dart,n,n,n,n,,
23219,13.472,88.998,Bay of Bengal,Indian National Center for Ocean Information Services INDIA,Tsunami,dart,n,n,n,y,,
23223,17.333,89.483,Bay of Bengal,National Institute for Ocean Technology INDIA,Tsunami,dart,n,n,n,n,,
23225,18.63,67.18,,National Institute for Ocean Technology INDIA,Tsunami,dart,n,n,n,n,,
23226,20.2,67.333,Arabian Sea,National Institute for Ocean Technology INDIA,Tsunami,dart,n,n,n,n,,
23227,6.255,88.792,Bay of Bengal,Indian National Center for Ocean Information Services INDIA,Tsunami,dart,n,n,n,n,,
23228,20.764,65.284,Arabian Sea,Indian National Center for Ocean Information Services INDIA,Tsunami,dart,n,n,n,y,,
23401,8.86,88.55,"BAY OF BENGAL - 600 NM WNW of Phuket, Thailand","National Disaster Warning Center (NDWC), Department of Disaster Prevention and Mitigation, Ministry of the Interior, Thailand",Tsunami,dart,n,n,n,y,,
23461,9.541,95.668,"ANDAMAN SEA - 180 NM NW of Phuket, Thailand","National Disaster Warning Center (NDWC), Department of Disaster Prevention and Mitigation, Ministry of the Interior, Thailand",Tsunami,dart,n,n,n,y,,
28401,32.384,144.54,Kuroshio Extension Observatory (KEO),NOAA/PMEL,IOOS Partners,buoy,n,n,n,n,0,
28906,30,-90,SG121,University of Washington - APL,IOOS Partners,other,n,n,n,n,,
28907,30,-90,SG171,University of Washington - APL,IOOS Partners,other,n,n,n,n,,
28908,30,-90,SG017,University of Washington - APL,IOOS Partners,other,n,n,n,n,,
28909,30,-90,SG123,University of Washington - APL,IOOS Partners,other,n,n,n,n,,
31001,0,-35,Samba,Prediction and Research Moored Array in the Atlantic,International Partners,buoy,n,n,n,n,0,
31002,4,-38,Frevo,Prediction and Research Moored Array in the Atlantic,International Partners,buoy,n,n,n,n,0,
31003,-8,-30,Para?ba,Prediction and Research Moored Array in the Atlantic,International Partners,buoy,n,n,n,n,0,
31004,-14,-32,Salvador,Prediction and Research Moored Array in the Atlantic,International Partners,buoy,n,n,n,n,0,
31005,-19,-34,Espirito Santo,Prediction and Research Moored Array in the Atlantic,International Partners,buoy,n,n,n,n,0,
31006,4,-23,NE Extension,Prediction and Research Moored Array in the Atlantic,International Partners,buoy,y,n,n,n,0,
31007,0,-23,Jazz,Prediction and Research Moored Array in the Atlantic,International Partners,buoy,y,n,n,n,0,
31051,-25.283,-44.933,Santos,Brazilian Navy Hydrographic Center,International Partners,buoy,n,n,n,n,,
31052,-8.15,-34.567,RECIFE,Brazilian Navy Hydrographic Center,International Partners,buoy,n,n,n,n,,
31053,-32.595,-51.353, RIO GRANDE DO SUL,Brazilian Navy Hydrographic Center,International Partners,buoy,n,n,n,n,,
32066,-1.136,-81.765,Ecuador INOCAR,Instituto Oceanografico de la Armada,Tsunami,dart,n,n,n,n,,
32067,0.641,-81.262,ECUADOR INOCAR,Instituto Oceanografico de la Armada,Tsunami,dart,n,n,n,n,,
32303,5,-95,5N 95W,NDBC,TAO,tao,,,,,0,6
32304,-5,-95,5S 95W,NDBC,TAO,tao,,,,,0,11
32305,-8,-95,8S 95W,NDBC,TAO,tao,,,,,0,12
32315,5,-110,5N 110W,NDBC,TAO,tao,,,,,0,13
32316,2,-110,2N 110W,NDBC,TAO,tao,,,,,0,14
32317,-2,-110,2S 110W,NDBC,TAO,tao,,,,,0,15
32318,-5,-110,5S 110W,NDBC,TAO,tao,,,,,0,16
32319,-8,-110,8S 110W,NDBC,TAO,tao,,,,,0,17
32320,2,-95,2N 95W,NDBC,TAO,tao,,,,,0,18
32321,0,-95,0 95W,NDBC,TAO,tao,,,,,0,19
32322,-2,-95,2S 95W,NDBC,TAO,tao,,,,,0,20
32323,0,-110,0 110W,NDBC,TAO,tao,,,,,0,21
32401,-20.474,-73.421,"180 NM West of Iquique, Chile",Hydrographic and Oceanographic Service of the Chilean Navy (SHOA),Tsunami,dart,n,n,n,y,,
32402,-26.743,-73.983,"180 NM  West of Caldera, Chile",Hydrographic and Oceanographic Service of the Chilean Navy (SHOA),Tsunami,dart,n,n,n,y,,
32403,-23.163,-72.037,"91NM West of Antofagasta, Chile",Cooperative Effort DART 4G,Tsunami,dart,n,n,n,y,,
32404,-32.118,-73.783,120 NM NW of Valparaiso,Cooperative Effort DART 4G,Tsunami,dart,n,n,n,y,,
32411,4.958,-90.868,"WEST PANAMA - 710 NM WSW of Panama City, Panama",NDBC,Tsunami,dart,n,n,n,y,,
32413,-7.43,-93.48,"NORTHWEST LIMA - 1000 NM WNW of Lima, Peru",NDBC,Tsunami,dart,n,n,n,y,,
32489,2.998,-79.101,"Colombia   121NM SW of Buenaventura, Colombia",DIMAR Colombia,Tsunami,dart,n,n,n,n,,
32st0,-22.462,-85.643,Stratus,Woods Hole Oceanographic Institution,IOOS Partners,fixed,y,n,y,n,0,
34002,-55,-90,OOI Southern Ocean Buoy,Ocean Observatories Initiative,IOOS Partners,buoy,n,n,n,n,0,
34420,-35.758,-75.243,"119NM NW of Concepcion, Chile",Cooperative Effort DART 4G,Tsunami,dart,n,n,n,n,,
41001,34.724,-72.317,EAST HATTERAS - 150 NM East of Cape Hatteras,NDBC,NDBC Meteorological/Ocean,buoy,y,n,n,n,0,
41002,30.8502,-75.8316,SOUTH HATTERAS - 225 NM South of Cape Hatteras,NDBC,NDBC Meteorological/Ocean,buoy,n,n,n,n,0,
41004,32.501,-79.099,"EDISTO - 41 NM Southeast of Charleston, SC",NDBC,NDBC Meteorological/Ocean,other,y,n,n,n,0,
41008,31.4,-80.866,"GRAYS REEF - 40 NM Southeast of Savannah, GA",NDBC,NDBC Meteorological/Ocean,buoy,y,n,n,n,0,
41009,28.508,-80.185,"CANAVERAL 20 NM East of Cape Canaveral, FL",NDBC,NDBC Meteorological/Ocean,other,y,n,n,n,0,
41010,28.878,-78.485,CANAVERAL EAST - 120NM East of Cape Canaveral,NDBC,NDBC Meteorological/Ocean,other,y,n,n,n,0,
41013,33.441,-77.764,"Frying Pan Shoals, NC",NDBC,NDBC Meteorological/Ocean,other,y,n,n,n,0,
41024,33.837,-78.477,"Sunset Nearshore, NC (SUN2)",CORMP,IOOS Partners,buoy,y,n,y,n,0,
41025,35.025,-75.363,"Diamond Shoals, NC",NDBC,NDBC Meteorological/Ocean,other,y,n,n,n,0,
41026,12,-38,Forro,Prediction and Research Moored Array in the Atlantic,International Partners,buoy,n,n,n,n,0,
41029,32.803,-79.624,"Capers Nearshore, SC (CAP2)",CORMP,IOOS Partners,buoy,y,n,y,n,0,
41033,32.279,-80.406,"Fripp Nearshore, SC (FRP2)",CORMP,IOOS Partners,buoy,y,n,y,n,0,
41037,33.988,-77.362,"Wrightsville Beach Offshore, NC (ILM3)",CORMP,IOOS Partners,buoy,y,n,y,n,0,
41038,34.141,-77.715,"Wrightsville Beach Nearshore, NC (ILM2)",CORMP,IOOS Partners,buoy,y,n,y,n,0,
41040,14.554,-53.045,NORTH EQUATORIAL ONE- 470 NM East of Martinique,NDBC,NDBC Meteorological/Ocean,other,y,n,n,n,0,
41041,14.311,-46.093,NORTH EQUATORIAL TWO - 890 NM East of Martinique ,NDBC,NDBC Meteorological/Ocean,other,n,n,n,n,0,
41043,21.03,-64.79,"NE PUERTO RICO - 170 NM NNE of San Juan, PR",NDBC,NDBC Meteorological/Ocean,buoy,y,n,n,n,0,
41044,21.582,-58.63,NE ST MARTIN - 330 NM NE St Martin Is,NDBC,NDBC Meteorological/Ocean,buoy,y,n,n,n,0,
41046,23.822,-68.384,"EAST BAHAMAS - 335 NM East of San Salvador Is,  Bahamas ",NDBC,NDBC Meteorological/Ocean,buoy,y,n,n,n,0,
41047,27.514,-71.494,"NE BAHAMAS - 350 NM ENE of Nassau, Bahamas",NDBC,NDBC Meteorological/Ocean,other,y,n,n,n,0,
41048,31.831,-69.573,WEST BERMUDA - 240 NM West of Bermuda,NDBC,NDBC Meteorological/Ocean,other,y,n,n,n,0,
41049,27.49,-62.938,SOUTH BERMUDA - 300 NM SSE of Bermuda,NDBC,NDBC Meteorological/Ocean,buoy,y,n,n,n,0,
41052,18.249,-64.763,"South of St. John, VI",Caribbean Integrated Coastal Ocean Observing System (CarICoos),IOOS Partners,buoy,y,y,y,n,0,
41053,18.474,-66.099,"San Juan, PR",Caribbean Integrated Coastal Ocean Observing System (CarICoos),IOOS Partners,buoy,y,y,y,n,0,
41056,18.261,-65.464,"Vieques Island, PR",Caribbean Integrated Coastal Ocean Observing System (CarICoos),IOOS Partners,buoy,y,y,y,n,0,
41057,19.833,-70.731,"Puerto Plata, DO",Integrated Coral Observing Network (ICON),IOOS Partners,buoy,n,n,n,n,0,
41058,18.476,-65.157,"North of St. Thomas, VI",Caribbean Integrated Coastal Ocean Observing System (CarICoos),IOOS Partners,buoy,n,n,n,n,0,
41060,14.824,-51.017,Woods Hole Northwest Tropical Atlantic Wave Station,Woods Hole Oceanographic Institution,IOOS Partners,buoy,n,n,n,n,0,
41064,34.207,-76.949,"Onslow Bay Outer, NC (LEJ3)",CORMP,IOOS Partners,buoy,y,n,y,n,0,
41096,16.533,-61.404,North of Guadeloupe,Meteo France,International Partners,buoy,n,n,n,n,,
41108,33.721,-78.015,"Wilmington Harbor, NC - (200)",SCRIPPS,IOOS Partners,buoy,y,y,n,n,0,
41110,34.141,-77.717,"Masonboro Inlet, ILM2, NC (150)",CORMP,IOOS Partners,buoy,y,n,n,n,0,
41112,30.709,-81.292,"Offshore Fernandina Beach, FL (132)",SCRIPPS,IOOS Partners,buoy,y,y,n,n,0,
41113,28.4,-80.534,"Cape Canaveral Nearshore, FL (143)",SCRIPPS,IOOS Partners,buoy,y,n,n,n,0,
41114,27.55,-80.217,"Fort Pierce, FL (134)",SCRIPPS,IOOS Partners,buoy,y,n,n,n,0,
41115,18.376,-67.28,"Rincon, Puerto Rico (181)",Caribbean Integrated Coastal Ocean Observing System (CarICoos),IOOS Partners,buoy,y,n,n,n,0,
41117,30,-81.08,"St. Augustine, FL (194)",U.S. Army Corps of Engineers,IOOS Partners,buoy,y,n,n,n,0,
41119,33.842,-78.483,"Sunset Beach, NC - (245)",CORMP,IOOS Partners,buoy,n,n,n,n,0,
41139,20,-38,,Prediction and Research Moored Array in the Atlantic,International Partners,buoy,y,n,n,n,0,
41159,34.213,-76.946,"Onslow Bay Outer, NC (217)",CORMP,IOOS Partners,buoy,y,n,n,n,0,
41300,15.85,-57.467,West Indies,Meteo France,International Partners,other,n,n,n,n,,
41420,23.37,-67.517,"NORTH SANTO DOMINGO - 328NM NNE of Santo Domingo, DO",NDBC,Tsunami,dart,n,n,n,y,,
41421,23.414,-63.781,"NORTH ST THOMAS - 300 NM North of St Thomas, Virgin Is",NDBC,Tsunami,dart,n,n,n,y,,
41425,28.633,-65.65,"SOUTHWEST BERMUDA - 200 NM SSW of Hamilton, Bermuda",NDBC,Tsunami,dart,n,n,n,n,,
41nt0,14.825,-51.016,NTAS - Northwest Tropical Atlantic,Woods Hole Oceanographic Institution,IOOS Partners,fixed,y,n,y,n,0,
41x01,30.7793,-60.0396,"Adrift from 41001, 150nm E of Cape Hatteras",NDBC,NDBC Meteorological/Ocean,other,n,n,n,n,0,
42001,25.942,-89.657,"MID GULF - 180 nm South of Southwest Pass, LA",NDBC,NDBC Meteorological/Ocean,other,n,n,n,n,0,
42002,26.055,-93.646,"WEST GULF - 207 NM East of Brownsville, TX",NDBC,NDBC Meteorological/Ocean,buoy,y,n,n,n,0,
42003,25.925,-85.615,"East GULF - 208 NM West of Naples, FL",NDBC,NDBC Meteorological/Ocean,buoy,y,n,n,n,0,
42012,30.064,-87.551,"ORANGE BEACH - 44 NM SE of Mobile, AL",NDBC,NDBC Meteorological/Ocean,buoy,y,n,n,n,0,
42013,27.173,-82.924,"C10 - WFS Central Buoy, 25m Isobath",COMPS (University of South Florida),IOOS Partners,buoy,y,y,y,n,0,
42019,27.91,-95.345,"FREEPORT, TX - 60 NM South of Freeport, TX",NDBC,NDBC Meteorological/Ocean,buoy,y,n,n,n,0,
42020,26.968,-96.693,"CORPUS CHRISTI, TX - 60NM SSE of Corpus Christi, TX",NDBC,NDBC Meteorological/Ocean,other,n,n,n,n,0,
42022,27.505,-83.741,"C12 - WFS Central Buoy, 50m Isobath",COMPS (University of South Florida),IOOS Partners,buoy,y,y,y,n,0,
42023,26.01,-83.086,"C13 - WFS South Buoy, 50m Isobath",COMPS (University of South Florida),IOOS Partners,buoy,y,y,y,n,0,
42026,25.171,-83.475,"Loop Current Pressure Point Buoy, 70m Isobath",COMPS (University of South Florida),IOOS Partners,buoy,y,n,y,n,0,
42031,30.09,-88.212,"West End CP, AL",Dauphin Island Sea Lab,IOOS Partners,buoy,n,n,n,n,0,
42035,29.215,-94.429,"GALVESTON,TX -  22 NM East of Galveston, TX",NDBC,NDBC Meteorological/Ocean,buoy,y,n,n,n,0,
42036,28.501,-84.516,"WEST TAMPA  - 112 NM WNW of Tampa, FL",NDBC,NDBC Meteorological/Ocean,other,y,n,n,n,0,
42039,28.788,-86.008,"PENSACOLA - 115NM SSE of Pensacola, FL",NDBC,NDBC Meteorological/Ocean,other,y,n,n,n,0,
42040,29.208,-88.226,"LUKE OFFSHORE TEST PLATFORM - 63 NM South of Dauphin Island, AL",NDBC,NDBC Meteorological/Ocean,buoy,n,n,n,n,0,
42043,28.982,-94.899,TGLO TABS Buoy B,TABS,IOOS Partners,buoy,n,n,n,n,0,
42044,26.191,-97.051,TGLO TABS Buoy J,TABS,IOOS Partners,buoy,n,n,n,n,0,
42045,26.217,-96.5,TGLO TABS Buoy K,TABS,IOOS Partners,buoy,y,y,y,n,0,
42047,27.897,-93.597,GERG Flower Gardens Buoy V,TABS,IOOS Partners,buoy,n,n,n,n,0,
42048,27.939,-96.843,TABS D,TABS,IOOS Partners,buoy,n,n,n,n,0,
42049,28.351,-96.006,TABS W,TABS,IOOS Partners,buoy,n,y,y,n,0,
42050,28.842,-94.242,TABS F,TABS,IOOS Partners,buoy,n,n,n,n,0,
42051,29.635,-93.642,TABS R,TABS,IOOS Partners,buoy,n,n,n,n,0,
42055,22.124,-93.941,"BAY OF CAMPECHE - 214 NM NE of Veracruz, MX",NDBC,NDBC Meteorological/Ocean,other,y,n,n,n,0,
42056,19.82,-84.945," Yucatan Basin - 120 NM ESE of Cozumel, MX",NDBC,NDBC Meteorological/Ocean,other,y,n,n,n,0,
42057,16.908,-81.422,"Western Caribbean - 195 NM WSW of Negril, Jamaica",NDBC,NDBC Meteorological/Ocean,buoy,y,n,n,n,0,
42058,14.776,-74.548,"Central Caribbean - 210 NM SSE of Kingston, Jamaica",NDBC,NDBC Meteorological/Ocean,buoy,n,n,n,n,0,
42059,13.8024,-74.2500,"Eastern Caribbean Sea - 180 NM SSW of Ponce, PR",NDBC,NDBC Meteorological/Ocean,other,n,n,n,n,0,
42060,16.433,-63.331,Caribbean Valley - 63 NM WSW of Montserrat,NDBC,NDBC Meteorological/Ocean,buoy,y,n,n,n,0,
42067,30.05,-88.583,USM-R1,USM,IOOS Partners,other,n,n,n,n,0,
42085,17.869,-66.532,"Southeast of Ponce, PR",Caribbean Integrated Coastal Ocean Observing System (CarICoos),IOOS Partners,buoy,y,y,y,n,0,
42087,11.185,-60.848,"Buccoo Reef, Buccoo Marine Park, TT",Integrated Coral Observing Network (ICON),IOOS Partners,buoy,n,n,n,n,0,
42088,11.301,-60.521,"Angel Reef, TT",Integrated Coral Observing Network (ICON),IOOS Partners,buoy,n,n,n,n,0,
42089,19.699,-80.061,"Little Cayman Research Center, CYM",Integrated Coral Observing Network (ICON),IOOS Partners,buoy,n,n,n,n,0,
42090,18.432,-69.58,"Catuan Wreck, Boca Chica, DR",Integrated Coral Observing Network (ICON),IOOS Partners,buoy,n,n,n,n,0,
42093,29.017,-89.832,"Grand Isle Outer, LA (247)",U.S. Army Corps of Engineers,IOOS Partners,buoy,y,n,n,n,,
42095,24.407,-81.967,"Satan Shoal, FL (244)",U.S. Army Corps of Engineers,IOOS Partners,buoy,y,y,n,n,0,
42097,25.7,-83.65,"Pulley Ridge, FL (226)",U.S. Army Corps of Engineers,IOOS Partners,buoy,y,n,n,n,0,
42098,27.59,-82.931,"Egmont Channel Entrance, FL (214)",Greater Tampa Bay Marine Advisory Council-PORTS,IOOS Partners,buoy,y,n,n,n,0,
42099,27.345,-84.275,"Offshore St. Petersburg, FL (144)",SCRIPPS,IOOS Partners,buoy,n,n,n,n,0,
42360,26.689,-90.459,BW Pioneer buoy - C16471 - Walker Ridge 249,Murphy,Oil and Gas Industry,buoy,y,y,n,n,0,
42361,27.55,-92.49,Auger - Garden Banks 426,Shell Oil,Oil and Gas Industry,oilrig,n,n,n,n,0,
42362,27.795,-90.648,Brutus TLP - Green Canyon 158,Enven Energy Corporation,Oil and Gas Industry,oilrig,n,n,n,n,0,
42363,28.16,-89.22,Mars - Mississippi Canyon 807,Shell Oil,Oil and Gas Industry,oilrig,n,y,n,n,0,
42364,29.06,-88.09,Ram Powell TLP - Viosca Knoll 956,Shell Oil,Oil and Gas Industry,oilrig,n,n,n,n,0,
42365,28.154,-89.104,Ursa TLP - Mississippi Canyon 809A,Shell Oil,Oil and Gas Industry,oilrig,n,n,n,n,0,
42366,27.122,-91.959,Red Hawk SPAR - Garden Banks 877,Kerr-McGee,Oil and Gas Industry,oilrig,n,n,n,n,,
42367,28.742,-88.826,Matterhorn TLP - Mississippi Canyon 243,Total USA,Oil and Gas Industry,oilrig,n,n,n,n,,
42368,27.204,-92.202,Magnolia TLP - Garden Banks 783A,W&T Offshore,Oil and Gas Industry,oilrig,n,n,n,n,,
42369,27.207,-90.283,Mad Dog Spar - Green Canyon 782,BP Inc,Oil and Gas Industry,oilrig,n,y,y,n,0,
42370,27.322,-90.536,Holstein Spar- Green Canyon 645,BP Inc,Oil and Gas Industry,oilrig,n,y,y,n,0,
42372,27.78,-90.518,Genesis SPAR - Green Canyon 205A,Chevron,Oil and Gas Industry,oilrig,n,n,n,n,,
42373,27.354,-94.625,Boomvang - East Breaks 643,Kerr-McGee,Oil and Gas Industry,oilrig,n,y,y,n,,
42374,28.866,-88.056,Horn Mountain SPAR - Mississippi Canyon 126 and 127,BP Inc,Oil and Gas Industry,oilrig,n,y,y,n,0,
42375,28.521,-88.289,Na Kika FPU - Mississippi Canyon 474,BP Inc,Oil and Gas Industry,oilrig,n,n,n,n,0,
42376,29.108,-87.944,Marlin TLP - Viosca Knoll 915,BP Inc,Oil and Gas Industry,oilrig,n,n,n,n,0,
42377,27.293,-90.968,Constitution Truss Spar - Green Canyon 680,Kerr-McGee,Oil and Gas Industry,oilrig,n,y,y,n,,
42379,27.362,-90.181,Marco Polo TLP - Green Canyon 608,Anadarko,Oil and Gas Industry,oilrig,n,n,n,n,,
42380,28.209,-88.737,Devil's Tower SPAR - Mississippi Canyon 773,Williams,Oil and Gas Industry,oilrig,n,n,n,n,,
42381,28.221,-89.615,Gomez Hub (ATP Innovator) - Mississippi Canyon 711A,ATP,Oil and Gas Industry,oilrig,n,n,n,n,,
42382,27.304,-93.538,Gunnison - Garden Banks 668,Kerr-McGee,Oil and Gas Industry,oilrig,n,n,n,n,,
42383,27.37,-89.924,Neptune TLP - Green Canyon 613,BHP,Oil and Gas Industry,oilrig,n,y,y,n,,
42384,27.993,-90.326,Prince TLP - Ewing Bank 1003,Enven Energy Corporation,Oil and Gas Industry,oilrig,n,n,n,n,,
42385,28.34,-88.266,Blind Faith Semisub - Mississippi Canyon 696,Chevron,Oil and Gas Industry,oilrig,n,n,n,n,,
